id,IsFraud
150000,0
150001,0
150002,0
150003,0
150004,0
150005,0
150006,0
150007,0
150008,0
150009,0
150010,0
150011,0
150012,0
150013,0
150014,0
150015,0
150016,1
150017,0
150018,0
150019,1
150020,1
150021,0
150022,0
150023,0
150024,0
150025,0
150026,0
150027,0
150028,0
150029,0
150030,0
150031,0
150032,0
150033,0
150034,0
150035,0
150036,0
150037,0
150038,0
150039,0
150040,0
150041,0
150042,0
150043,1
150044,0
150045,0
150046,0
150047,0
150048,0
150049,1
150050,0
150051,0
150052,1
150053,0
150054,1
150055,0
150056,0
150057,1
150058,0
150059,0
150060,0
150061,0
150062,0
150063,1
150064,0
150065,0
150066,0
150067,0
150068,0
150069,0
150070,0
150071,0
150072,1
150073,0
150074,0
150075,1
150076,1
150077,0
150078,0
150079,0
150080,0
150081,0
150082,0
150083,0
150084,0
150085,0
150086,0
150087,0
150088,0
150089,0
150090,0
150091,1
150092,0
150093,0
150094,0
150095,1
150096,0
150097,0
150098,0
150099,0
150100,0
150101,0
150102,0
150103,0
150104,0
150105,1
150106,0
150107,0
150108,0
150109,0
150110,0
150111,0
150112,0
150113,0
150114,0
150115,0
150116,0
150117,0
150118,0
150119,1
150120,1
150121,0
150122,0
150123,0
150124,0
150125,0
150126,0
150127,0
150128,0
150129,1
150130,0
150131,0
150132,0
150133,0
150134,0
150135,0
150136,0
150137,0
150138,0
150139,0
150140,0
150141,0
150142,0
150143,0
150144,0
150145,0
150146,0
150147,0
150148,0
150149,0
150150,1
150151,0
150152,1
150153,0
150154,0
150155,0
150156,0
150157,0
150158,0
150159,0
150160,1
150161,0
150162,1
150163,0
150164,1
150165,0
150166,1
150167,0
150168,0
150169,0
150170,0
150171,0
150172,0
150173,0
150174,0
150175,0
150176,1
150177,0
150178,0
150179,1
150180,0
150181,1
150182,0
150183,0
150184,0
150185,0
150186,0
150187,0
150188,1
150189,0
150190,0
150191,0
150192,0
150193,0
150194,0
150195,0
150196,0
150197,0
150198,0
150199,0
150200,0
150201,0
150202,0
150203,1
150204,0
150205,0
150206,0
150207,0
150208,1
150209,0
150210,0
150211,0
150212,1
150213,0
150214,0
150215,0
150216,0
150217,0
150218,0
150219,0
150220,0
150221,0
150222,0
150223,0
150224,0
150225,0
150226,0
150227,0
150228,0
150229,0
150230,0
150231,0
150232,1
150233,0
150234,0
150235,0
150236,0
150237,0
150238,0
150239,0
150240,0
150241,0
150242,1
150243,0
150244,0
150245,0
150246,0
150247,0
150248,0
150249,0
150250,0
150251,0
150252,0
150253,0
150254,0
150255,0
150256,0
150257,0
150258,0
150259,0
150260,0
150261,0
150262,0
150263,1
150264,1
150265,0
150266,0
150267,1
150268,0
150269,0
150270,0
150271,1
150272,0
150273,0
150274,0
150275,0
150276,0
150277,0
150278,0
150279,0
150280,0
150281,0
150282,0
150283,0
150284,0
150285,0
150286,0
150287,1
150288,0
150289,1
150290,0
150291,0
150292,0
150293,1
150294,1
150295,0
150296,0
150297,0
150298,0
150299,0
150300,0
150301,0
150302,0
150303,0
150304,0
150305,0
150306,1
150307,0
150308,1
150309,0
150310,0
150311,1
150312,0
150313,0
150314,0
150315,0
150316,0
150317,0
150318,0
150319,0
150320,0
150321,0
